	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
64	Uruguay	894984	354.0	7188.0	2.0	884907.0	601.0	2889.0	31.0	256061.0	2057.0	6081466.0	1739948.0	3495199.0	South America
65	UAE	894523	237.0	2302.0		875602.0	486.0	16619.0		88536.0	228.0	151396113.0	14984545.0	10103484.0	Asia
66	Ecuador	865585		35513.0					759.0	47768.0	1960.0	2470170.0	136317.0	18120722.0	South America
67	Costa Rica	844892		8357.0		825599.0		10936.0	44.0	163199.0	1614.0	4163300.0	804181.0	5177071.0	North America
68	Guatemala	837087	853.0	17411.0	11.0	815470.0	1087.0	4206.0	5.0	45232.0	941.0	4345675.0	234820.0	18506374.0	North America
69	Latvia	811056	1139.0	5695.0	8.0	791297.0	2431.0	14064.0	14.0	438641.0	3080.0	7114713.0	3847831.0	1849019.0	Europe
70	New Zealand	795606	9548.0	497.0	14.0	729800.0	12625.0	65309.0		159054.0	99.0	6959067.0	1391229.0	5002100.0	Australia/Oceania
71	Azerbaijan	792305	16.0	9704.0	1.0	782416.0	41.0	185.0		76907.0	942.0	6755203.0	655708.0	10302149.0	Asia
72	Panama	767835	397.0	8178.0		757190.0	166.0	2467.0	9.0	173097.0	1844.0	5773749.0	1301606.0	4435867.0	North America
73	Saudi Arabia	752188	110.0	9062.0	2.0	738011.0	263.0	5115.0	66.0	21022.0	253.0	41704690.0	1165569.0	35780534.0	Asia
74	Sri Lanka	662748	31.0	16494.0	2.0	642530.0	14.0	3724.0		30721.0	765.0	6477329.0	300247.0	21573365.0	Asia
75	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88965.0	2570.0	2615453.0	358834.0	7288764.0	South America
76	Kuwait	630641		2555.0		626843.0		1243.0	4.0	143878.0	583.0	7948416.0	1813390.0	4383180.0	Asia
77	Myanmar	612460	54.0	19434.0		591139.0	110.0	1887.0		11123.0	353.0	7805688.0	141766.0	55060279.0	Asia
78	Palestine	581678		5352.0		575613.0		713.0	17.0	109487.0	1007.0	3078533.0	579458.0	5312781.0	Asia
79	Dominican Republic	578626		4375.0		574132.0		119.0	16.0	52403.0	396.0	3251191.0	294441.0	11041897.0	North America
80	Estonia	565838	626.0	2501.0	3.0	498248.0	1498.0	65089.0	6.0	426042.0	1883.0	3284564.0	2473082.0	1328126.0	Europe
81	Bahrain	561525	460.0	1473.0		555813.0	667.0	4239.0	3.0	310759.0	815.0	9662134.0	5347218.0	1806946.0	Asia
82	Venezuela	521714	96.0	5698.0	1.0	514413.0	125.0	1603.0	230.0	18440.0	201.0	3359014.0	118726.0	28292265.0	South America
83	Moldova	515804	155.0	11474.0	3.0	502452.0	261.0	1878.0	47.0	128397.0	2856.0	3192777.0	794768.0	4017244.0	Europe
84	Egypt	511977		24522.0		442182.0		45273.0	122.0	4840.0	232.0	3693367.0	34917.0	105775222.0	Africa
85	Libya	501834		6429.0		490837.0		4568.0	101.0	71305.0	913.0	2475203.0	351696.0	7037896.0	Africa
86	Ethiopia	470151	43.0	7509.0		453597.0	11.0	9045.0	17.0	3917.0	63.0	4718531.0	39308.0	120038795.0	Africa
87	Mongolia	469236	45.0	2177.0		313256.0		153803.0	192.0	139140.0	646.0	4030048.0	1195004.0	3372414.0	Asia
88	Cyprus	462945	1414.0	989.0	2.0	124370.0		337586.0	60.0	378522.0	809.0	9477138.0	7748882.0	1223033.0	Asia
89	Armenia	422711	20.0	8621.0		410387.0	22.0	3703.0		142178.0	2900.0	3005711.0	1010962.0	2973120.0	Asia
90	Honduras	421268		10888.0		131100.0		279280.0	105.0	41360.0	1069.0	1263329.0	124032.0	10185468.0	North America
91	Oman	388763	22.0	4257.0	1.0	383809.0	33.0	697.0	5.0	72828.0	797.0	25000000.0	4683326.0	5338087.0	Asia
92	Bosnia and Herzegovina	376339	75.0	15744.0	2.0	192218.0		168377.0		115995.0	4853.0	1747008.0	538464.0	3244431.0	Europe
93	Qatar	363139	108.0	677.0		361291.0	153.0	1171.0	1.0	129332.0	241.0	3419116.0	1217718.0	2807805.0	Asia
94	Réunion	360445		731.0		342442.0		17272.0	10.0	397532.0	806.0	1603660.0	1768666.0	906706.0	Africa
95	Kenya	323588	5.0	5649.0		317801.0		138.0		5791.0	101.0	3557516.0	63661.0	55882487.0	Africa
96	Zambia	318113	309.0	3969.0	2.0	313194.0	121.0	950.0		16481.0	206.0	3390279.0	175649.0	19301428.0	Africa
97	North Macedonia	308152	185.0	9256.0		297724.0	124.0	1172.0		147921.0	4443.0	1988999.0	954771.0	2083221.0	Europe
98	Botswana	305859		2688.0		303026.0		145.0	1.0	125544.0	1103.0	2026898.0	831968.0	2436268.0	Africa
99	Albania	274320	84.0	3494.0		270474.0	96.0	352.0	2.0	95509.0	1216.0	1789363.0	622995.0	2872193.0	Europe
100	Algeria	265731	1.0	6874.0		178327.0		80530.0	6.0	5871.0	152.0	230861.0	5100.0	45262694.0	Africa
101	Nigeria	255633		3142.0		249825.0		2666.0	11.0	1188.0	15.0	4977858.0	23126.0	215245373.0	Africa
102	Zimbabwe	247160	66.0	5460.0		240754.0	170.0	946.0	12.0	16209.0	358.0	2221896.0	145711.0	15248698.0	Africa
103	Uzbekistan	238145	47.0	1637.0		236057.0	28.0	451.0	23.0	6936.0	48.0	1377915.0	40133.0	34334066.0	Asia
104	Montenegro	233908	74.0	2708.0		230749.0	73.0	451.0	6.0	372342.0	4311.0	2435107.0	3876275.0	628208.0	Europe
105	Luxembourg	227528	1189.0	1052.0	1.0	211131.0	1105.0	15345.0	3.0	353230.0	1633.0	4195400.0	6513231.0	644135.0	Europe
106	Mozambique	225304	3.0	2200.0		223058.0		46.0	13.0	6866.0	67.0	1304157.0	39742.0	32815874.0	Africa
107	Kyrgyzstan	200970		2991.0		196303.0		1676.0	131.0	29924.0	445.0	1907195.0	283974.0	6716101.0	Asia
108	Laos	198346	957.0	707.0	5.0	7660.0		189979.0		26574.0	95.0	1230778.0	164900.0	7463801.0	Asia
109	Iceland	183974		110.0		75685.0		108179.0	1.0	532961.0	319.0	1953616.0	5659505.0	345192.0	Europe
110	Maldives	178313		298.0		163687.0		14328.0	25.0	319834.0	535.0	2213831.0	3970876.0	557517.0	Asia
111	Afghanistan	178296	39.0	7676.0		161417.0	54.0	9203.0	1124.0	4403.0	190.0	932511.0	23030.0	40491001.0	Asia
